scrap_id,folder,scrap_area_in2,fixed_main_triangles,fixed_main_recovery_pct,fixed_anti_triangles,fixed_anti_recovery_pct,best_orientation_triangles,best_orientation_recovery_pct,greedy_triangles,greedy_recovery_pct
audrey_scrap3_Polygon-4,audrey,4.2799,4,46.7304,4,46.7304,4,46.7304,4,46.7304
audrey_scrap3_Polygon-12,audrey,5.5048,6,54.4980,7,63.5810,7,63.5810,7,63.5810
audrey_scrap3_Polygon-5,audrey,38.3594,67,87.3319,66,86.0284,67,87.3319,67,87.3319
audrey_scrap3_Polygon-17,audrey,10.0822,6,29.7555,8,39.6740,8,39.6740,8,39.6740
audrey_scrap3_Polygon-16,audrey,14.3789,14,48.6823,16,55.6369,16,55.6369,16,55.6369
audrey_scrap3_Polygon-14,audrey,4.0470,0,0.0000,0,0.0000,0,0.0000,0,0.0000
audrey_scrap3_Polygon-6,audrey,11.9091,10,41.9846,10,41.9846,10,41.9846,10,41.9846
audrey_scrap3_Polygon-15,audrey,14.6633,16,54.5580,18,61.3777,18,61.3777,18,61.3777
audrey_scrap3_Polygon-10,audrey,36.7954,60,81.5319,60,81.5319,60,81.5319,60,81.5319
audrey_scrap3_Polygon-7,audrey,6.3369,2,15.7806,0,0.0000,2,15.7806,2,15.7806
audrey_scrap3_Polygon-9,audrey,15.8993,20,62.8960,20,62.8960,20,62.8960,21,66.0408
audrey_scrap3_Polygon-3,audrey,36.2374,60,82.7874,60,82.7874,60,82.7874,60,82.7874
audrey_scrap3_Polygon-11,audrey,16.1425,18,55.7535,18,55.7535,18,55.7535,19,58.8510
audrey_scrap3_Polygon-8,audrey,37.8542,60,79.2515,60,79.2515,60,79.2515,60,79.2515
audrey_scrap3_Polygon-13,audrey,5.8646,6,51.1547,6,51.1547,6,51.1547,6,51.1547
audrey_scrap7_Polygon-8,audrey,11.7005,10,42.7331,10,42.7331,10,42.7331,10,42.7331
audrey_scrap7_Polygon-15,audrey,11.7005,10,42.7331,10,42.7331,10,42.7331,10,42.7331
audrey_scrap7_Polygon-12,audrey,12.4990,24,96.0074,24,96.0074,24,96.0074,24,96.0074
audrey_scrap7_Polygon-3,audrey,11.2803,10,44.3251,10,44.3251,10,44.3251,10,44.3251
audrey_scrap7_Polygon-17,audrey,11.4662,11,47.9669,10,43.6062,11,47.9669,11,47.9669
audrey_scrap7_Polygon-6,audrey,11.6305,10,42.9905,10,42.9905,10,42.9905,10,42.9905
audrey_scrap7_Polygon-2,audrey,11.7355,10,42.6056,10,42.6056,10,42.6056,10,42.6056
audrey_scrap7_Polygon-9,audrey,12.6869,12,47.2928,12,47.2928,12,47.2928,12,47.2928
audrey_scrap7_Polygon-4,audrey,11.8421,11,46.4444,10,42.2222,11,46.4444,11,46.4444
audrey_scrap7_Polygon-18,audrey,12.3952,10,40.3383,10,40.3383,10,40.3383,10,40.3383
audrey_scrap7_Polygon-5,audrey,11.7998,10,42.3737,10,42.3737,10,42.3737,10,42.3737
audrey_scrap7_Polygon-11,audrey,12.1694,12,49.3041,12,49.3041,12,49.3041,12,49.3041
audrey_scrap7_Polygon-19,audrey,11.1727,10,44.7520,11,49.2272,11,49.2272,11,49.2272
audrey_scrap7_Polygon-10,audrey,12.0281,12,49.8833,10,41.5694,12,49.8833,12,49.8833
audrey_scrap7_Polygon-7,audrey,11.6255,10,43.0088,10,43.0088,10,43.0088,10,43.0088
audrey_scrap7_Polygon-21,audrey,13.3215,20,75.0665,21,78.8198,21,78.8198,21,78.8198
audrey_scrap7_Polygon-14,audrey,11.3552,11,48.4362,10,44.0329,11,48.4362,11,48.4362
audrey_scrap7_Polygon-22,audrey,12.7927,12,46.9019,14,54.7189,14,54.7189,14,54.7189
audrey_scrap7_Polygon-20,audrey,12.8897,12,46.5488,12,46.5488,12,46.5488,12,46.5488
audrey_scrap7_Polygon-16,audrey,11.5130,11,47.7719,10,43.4290,11,47.7719,11,47.7719
audrey_scrap7_Polygon-13,audrey,12.0115,11,45.7896,12,49.9522,12,49.9522,12,49.9522
audrey_scrap6_Polygon-5,audrey,62.3263,104,83.4318,104,83.4318,104,83.4318,104,83.4318
audrey_scrap6_Polygon-2,audrey,129.1352,218,84.4077,217,84.0205,218,84.4077,219,84.7949
audrey_scrap6_Polygon-4,audrey,48.0742,80,83.2048,80,83.2048,80,83.2048,80,83.2048
audrey_scrap6_Polygon-3,audrey,200.5194,342,85.2786,342,85.2786,342,85.2786,344,85.7773
audrey_scrap6_Polygon-7,audrey,15.6998,24,76.4340,24,76.4340,24,76.4340,24,76.4340
audrey_scrap6_Polygon-6,audrey,13.8510,12,43.3181,12,43.3181,12,43.3181,12,43.3181
oren_scrap2_Polygon-14,oren,0.8724,0,0.0000,0,0.0000,0,0.0000,0,0.0000
oren_scrap2_Polygon-23,oren,3.4038,2,29.3793,3,44.0689,3,44.0689,3,44.0689
oren_scrap2_Polygon-13,oren,3.0942,2,32.3189,2,32.3189,2,32.3189,2,32.3189
oren_scrap2_Polygon-16,oren,4.4406,0,0.0000,1,11.2598,1,11.2598,1,11.2598
oren_scrap2_Polygon-27,oren,17.5993,24,68.1845,26,73.8665,26,73.8665,26,73.8665
oren_scrap2_Polygon-20,oren,1.1023,0,0.0000,0,0.0000,0,0.0000,0,0.0000
oren_scrap2_Polygon-26,oren,5.1075,4,39.1585,5,48.9481,5,48.9481,5,48.9481
oren_scrap2_Polygon-22,oren,2.4344,1,20.5387,0,0.0000,1,20.5387,1,20.5387
oren_scrap2_Polygon-2,oren,14.8230,22,74.2088,23,77.5819,23,77.5819,23,77.5819
oren_scrap2_Polygon-6,oren,7.0893,8,56.4228,7,49.3700,8,56.4228,9,63.4757
oren_scrap2_Polygon-7,oren,2.6995,0,0.0000,0,0.0000,0,0.0000,0,0.0000
oren_scrap2_Polygon-10,oren,40.3020,64,79.4005,64,79.4005,64,79.4005,64,79.4005
oren_scrap2_Polygon-5,oren,2.2726,2,44.0033,2,44.0033,2,44.0033,2,44.0033
oren_scrap2_Polygon-9,oren,38.9759,61,78.2535,60,76.9707,61,78.2535,61,78.2535
oren_scrap2_Polygon-3,oren,4.3243,4,46.2506,4,46.2506,4,46.2506,4,46.2506
oren_scrap2_Polygon-18,oren,1.6228,0,0.0000,0,0.0000,0,0.0000,0,0.0000
oren_scrap2_Polygon-11,oren,1.2533,0,0.0000,0,0.0000,0,0.0000,0,0.0000
oren_scrap2_Polygon-21,oren,0.9444,0,0.0000,0,0.0000,0,0.0000,0,0.0000
oren_scrap2_Polygon-17,oren,4.5079,6,66.5504,6,66.5504,6,66.5504,6,66.5504
oren_scrap2_Polygon-4,oren,1.7799,2,56.1815,2,56.1815,2,56.1815,2,56.1815
