scrap_id,folder,scrap_area_in2,isosceles_triangles,isosceles_recovery_pct,306090_triangles,306090_recovery_pct,equilateral_triangles,equilateral_recovery_pct
bag4_scrap1_Polygon-2,bag4,162.70,284,87.28,301,92.50,286,87.89
bag4_scrap1_Polygon-4,bag4,94.26,159,84.34,154,81.69,147,77.97
bag4_scrap1_Polygon-3,bag4,129.12,235,91.00,234,90.61,227,87.90
bag4_scrap4_Polygon-2,bag4,141.51,229,80.92,207,73.14,231,81.62
bag4_scrap4_Polygon-3,bag4,267.52,480,89.71,426,79.62,457,85.41
bag4_scrap3_Polygon-2,bag4,26.95,40,74.22,36,66.80,38,70.51
bag4_scrap3_Polygon-4,bag4,27.06,38,70.21,39,72.06,39,72.06
bag4_scrap3_Polygon-12,bag4,27.02,39,72.18,38,70.33,42,77.73
bag4_scrap3_Polygon-5,bag4,28.12,42,74.67,41,72.90,40,71.12
bag4_scrap3_Polygon-14,bag4,27.49,39,70.94,43,78.21,39,70.94
bag4_scrap3_Polygon-6,bag4,224.25,376,83.83,348,77.59,371,82.72
bag4_scrap3_Polygon-10,bag4,29.76,50,84.00,46,77.28,42,70.56
bag4_scrap3_Polygon-7,bag4,87.81,138,78.58,144,82.00,154,87.69
bag4_scrap3_Polygon-9,bag4,27.18,38,69.91,37,68.08,39,71.75
bag4_scrap3_Polygon-3,bag4,26.39,39,73.90,35,66.32,37,70.11
bag4_scrap3_Polygon-11,bag4,29.68,49,82.55,44,74.12,42,70.76
bag4_scrap3_Polygon-8,bag4,27.94,43,76.96,43,76.96,40,71.59
bag4_scrap3_Polygon-13,bag4,26.74,36,67.31,38,71.05,36,67.31
bag4_scrap5_Polygon-5,bag4,43.41,68,78.32,70,80.63,62,71.41
bag4_scrap5_Polygon-3,bag4,189.82,343,90.35,346,91.14,331,87.19
bag4_scrap5_Polygon-2,bag4,141.21,214,75.77,181,64.09,211,74.71
bag4_scrap5_Polygon-4,bag4,45.28,64,70.67,72,79.50,72,79.50
bag4_scrap2_Polygon-2,bag4,263.34,491,93.23,463,87.91,459,87.15
bag4_scrap2_Polygon-3,bag4,178.12,285,80.00,258,72.42,282,79.16
bag4_scrap6_Polygon-5,bag4,36.09,59,81.73,60,83.12,55,76.19
bag4_scrap6_Polygon-2,bag4,221.22,408,92.21,360,81.37,378,85.43
bag4_scrap6_Polygon-4,bag4,43.03,74,85.99,72,83.67,64,74.37
bag4_scrap6_Polygon-3,bag4,58.11,90,77.45,96,82.61,99,85.19
bag4_scrap6_Polygon-7,bag4,39.85,60,75.29,65,81.56,62,77.80
bag4_scrap6_Polygon-6,bag4,34.73,56,80.62,50,71.98,51,73.42
bag4_scrap7_Polygon-3,bag4,91.00,149,81.87,155,85.17,153,84.07
bag4_scrap7_Polygon-2,bag4,171.33,302,88.13,303,88.43,299,87.26
bag4_scrap7_Polygon-4,bag4,72.49,120,82.77,126,86.90,119,82.08
bag4_scrap7_Polygon-5,bag4,228.26,399,87.40,387,84.77,404,88.50
