Scrap Type,Scrap ID,Original Area (in²),Triangle Size (in),Scale (px/in),Accepted Triangles,Recovered Area (in²),Theoretical Area (in²),Recovery %
oren,oren_scrap2_Polygon-9,38.98,1.00,97.00,61,30.50,30.50,78.25
oren,oren_scrap2_Polygon-3,4.32,1.00,97.00,4,2.00,2.00,46.25
oren,oren_scrap2_Polygon-18,1.62,1.00,97.00,0,0.00,0.00,0.00
oren,oren_scrap2_Polygon-11,1.25,1.00,97.00,0,0.00,0.00,0.00
oren,oren_scrap2_Polygon-21,0.94,1.00,97.00,0,0.00,0.00,0.00
oren,oren_scrap2_Polygon-17,4.51,1.00,97.00,6,3.00,3.00,66.55
oren,oren_scrap2_Polygon-4,1.78,1.00,97.00,2,1.00,1.00,56.18
oren,oren_scrap2_Polygon-19,1.47,1.00,97.00,0,0.00,0.00,0.00
oren,oren_scrap2_Polygon-12,1.80,1.00,97.00,0,0.00,0.00,0.00
oren,oren_scrap2_Polygon-25,5.09,1.00,97.00,4,2.00,2.00,39.27
oren,oren_scrap2_Polygon-15,1.58,1.00,97.00,0,0.00,0.00,0.00
oren,oren_scrap2_Polygon-8,3.56,1.00,97.00,2,1.00,1.00,28.07
oren,oren_scrap2_Polygon-24,2.84,1.00,97.00,2,1.00,1.00,35.26
oren,oren_scrap1_Polygon-2,7.98,1.00,78.00,8,4.00,4.00,50.13
oren,oren_scrap1_Polygon-7,2.39,1.00,78.00,1,0.50,0.50,20.91
oren,oren_scrap1_Polygon-4,7.11,1.00,78.00,8,4.00,4.00,56.25
oren,oren_scrap1_Polygon-9,510.15,1.00,78.00,938,469.00,469.00,91.93
oren,oren_scrap1_Polygon-6,2.71,1.00,78.00,4,2.00,2.00,73.78
oren,oren_scrap1_Polygon-3,4.14,1.00,78.00,2,1.00,1.00,24.15
oren,oren_scrap1_Polygon-5,1.32,1.00,78.00,0,0.00,0.00,0.00
oren,oren_scrap1_Polygon-8,4.59,1.00,78.00,4,2.00,2.00,43.57
oren,oren_scrap4_Polygon-2,1.05,1.00,102.00,0,0.00,0.00,0.00
oren,oren_scrap4_Polygon-7,5.30,1.00,102.00,6,3.00,3.00,56.62
oren,oren_scrap4_Polygon-3,1.31,1.00,102.00,0,0.00,0.00,0.00
oren,oren_scrap4_Polygon-8,14.03,1.00,102.00,21,10.50,10.50,74.86
oren,oren_scrap4_Polygon-9,9.96,1.00,102.00,12,6.00,6.00,60.26
oren,oren_scrap4_Polygon-10,54.70,1.00,102.00,90,45.00,45.00,82.27
oren,oren_scrap4_Polygon-11,10.55,1.00,102.00,13,6.50,6.50,61.59
oren,oren_scrap4_Polygon-5,10.00,1.00,102.00,12,6.00,6.00,60.03
oren,oren_scrap4_Polygon-4,42.47,1.00,102.00,65,32.50,32.50,76.53
oren,oren_scrap4_Polygon-6,12.38,1.00,102.00,14,7.00,7.00,56.54
oren,oren_scrap3_Polygon-18,8.33,1.00,108.00,11,5.50,5.50,66.04
oren,oren_scrap3_Polygon-2,4.44,1.00,108.00,4,2.00,2.00,45.02
oren,oren_scrap3_Polygon-4,2.42,1.00,108.00,0,0.00,0.00,0.00
oren,oren_scrap3_Polygon-12,30.60,1.00,108.00,39,19.50,19.50,63.73
oren,oren_scrap3_Polygon-5,2.62,1.00,108.00,0,0.00,0.00,0.00
oren,oren_scrap3_Polygon-19,5.16,1.00,108.00,5,2.50,2.50,48.45
oren,oren_scrap3_Polygon-17,9.10,1.00,108.00,13,6.50,6.50,71.41
oren,oren_scrap3_Polygon-16,7.63,1.00,108.00,9,4.50,4.50,58.99
oren,oren_scrap3_Polygon-14,7.58,1.00,108.00,12,6.00,6.00,79.15
oren,oren_scrap3_Polygon-20,4.94,1.00,108.00,4,2.00,2.00,40.48
oren,oren_scrap3_Polygon-6,3.02,1.00,108.00,0,0.00,0.00,0.00
oren,oren_scrap3_Polygon-15,4.71,1.00,108.00,5,2.50,2.50,53.04
oren,oren_scrap3_Polygon-10,0.81,1.00,108.00,0,0.00,0.00,0.00
oren,oren_scrap3_Polygon-7,10.53,1.00,108.00,12,6.00,6.00,56.96
oren,oren_scrap3_Polygon-9,0.96,1.00,108.00,0,0.00,0.00,0.00
oren,oren_scrap3_Polygon-3,6.94,1.00,108.00,9,4.50,4.50,64.84
oren,oren_scrap3_Polygon-11,3.97,1.00,108.00,4,2.00,2.00,50.41
oren,oren_scrap3_Polygon-8,3.62,1.00,108.00,3,1.50,1.50,41.42
oren,oren_scrap3_Polygon-13,5.45,1.00,108.00,8,4.00,4.00,73.34
oren,oren_scrap5_Polygon-3,172.19,1.00,100.00,309,154.50,154.50,89.73
