Scrap Type,Scrap ID,Original Area (in²),Triangle Size (in),Scale (px/in),Accepted Triangles,Recovered Area (in²),Theoretical Area (in²),Recovery %
oren,oren_scrap5_Polygon-2,186.60,1.00,100.00,320,160.00,160.00,85.75
oren,oren_scrap5_Polygon-4,49.73,1.00,100.00,76,38.00,38.00,76.42
fabscrap,fabscrap_scraps7_Polygon-3,97.68,1.00,150.00,167,83.50,83.50,85.48
fabscrap,fabscrap_scraps7_Polygon-4,31.46,1.00,150.00,50,25.00,25.00,79.47
fabscrap,fabscrap_scraps7_Polygon-2,15.13,1.00,150.00,20,10.00,10.00,66.10
fabscrap,fabscrap_scraps8_Polygon-5,39.95,1.00,128.00,71,35.50,35.50,88.86
fabscrap,fabscrap_scraps8_Polygon-3,2.60,1.00,128.00,2,1.00,1.00,38.54
fabscrap,fabscrap_scraps8_Polygon-2,59.10,1.00,128.00,99,49.50,49.50,83.76
fabscrap,fabscrap_scraps8_Polygon-6,118.06,1.00,128.00,215,107.50,107.50,91.05
fabscrap,fabscrap_scraps8_Polygon-4,2.43,1.00,128.00,0,0.00,0.00,0.00
fabscrap,fabscrap_scraps10_Polygon-6,2.54,1.00,131.00,0,0.00,0.00,0.00
fabscrap,fabscrap_scraps10_Polygon-4,5.42,1.00,131.00,8,4.00,4.00,73.82
fabscrap,fabscrap_scraps10_Polygon-3,4.19,1.00,131.00,3,1.50,1.50,35.79
fabscrap,fabscrap_scraps10_Polygon-10,37.41,1.00,131.00,58,29.00,29.00,77.53
fabscrap,fabscrap_scraps10_Polygon-7,19.48,1.00,131.00,30,15.00,15.00,77.00
fabscrap,fabscrap_scraps10_Polygon-8,15.85,1.00,131.00,21,10.50,10.50,66.24
fabscrap,fabscrap_scraps10_Polygon-9,3.06,1.00,131.00,0,0.00,0.00,0.00
fabscrap,fabscrap_scraps10_Polygon-2,109.50,1.00,131.00,187,93.50,93.50,85.39
fabscrap,fabscrap_scraps10_Polygon-5,5.58,1.00,131.00,8,4.00,4.00,71.71
fabscrap,fabscrap_scraps5_Polygon-7,3.98,1.00,192.00,2,1.00,1.00,25.11
fabscrap,fabscrap_scraps5_Polygon-5,4.82,1.00,192.00,4,2.00,2.00,41.47
fabscrap,fabscrap_scraps5_Polygon-6,4.26,1.00,192.00,4,2.00,2.00,46.93
fabscrap,fabscrap_scraps5_Polygon-8,30.86,1.00,192.00,48,24.00,24.00,77.77
fabscrap,fabscrap_scraps5_Polygon-2,15.81,1.00,192.00,24,12.00,12.00,75.92
fabscrap,fabscrap_scraps5_Polygon-3,4.93,1.00,192.00,4,2.00,2.00,40.60
fabscrap,fabscrap_scraps5_Polygon-9,21.15,1.00,192.00,25,12.50,12.50,59.09
fabscrap,fabscrap_scraps5_Polygon-4,4.80,1.00,192.00,7,3.50,3.50,72.97
fabscrap,fabscrap_scraps6_Polygon-4,4.51,1.00,299.00,2,1.00,1.00,22.17
fabscrap,fabscrap_scraps6_Polygon-3,5.30,1.00,299.00,4,2.00,2.00,37.74
fabscrap,fabscrap_scraps6_Polygon-2,5.26,1.00,299.00,8,4.00,4.00,76.03
fabscrap,fabscrap_scraps9_Polygon-2,125.76,1.00,121.00,234,117.00,117.00,93.03
fabscrap,fabscrap_scraps9_Polygon-3,96.65,1.00,121.00,158,79.00,79.00,81.73
fabscrap,fabscrap_scraps9_Polygon-4,105.37,1.00,121.00,180,90.00,90.00,85.42
bag1,bag1_scrap1_Polygon-2,96.92,1.00,80.00,161,80.50,80.50,83.06
bag1,bag1_scrap1_Polygon-4,135.62,1.00,80.00,244,122.00,122.00,89.96
bag1,bag1_scrap1_Polygon-3,120.43,1.00,80.00,211,105.50,105.50,87.60
bag1,bag1_scrap1_Polygon-5,72.64,1.00,80.00,119,59.50,59.50,81.91
bag1,bag1_scrap4_Polygon-2,26.20,1.00,83.00,41,20.50,20.50,78.25
bag1,bag1_scrap4_Polygon-7,162.91,1.00,83.00,275,137.50,137.50,84.40
bag1,bag1_scrap4_Polygon-3,60.55,1.00,83.00,104,52.00,52.00,85.88
bag1,bag1_scrap4_Polygon-5,36.52,1.00,83.00,60,30.00,30.00,82.15
bag1,bag1_scrap4_Polygon-4,23.43,1.00,83.00,32,16.00,16.00,68.29
bag1,bag1_scrap4_Polygon-6,32.26,1.00,83.00,49,24.50,24.50,75.95
bag1,bag1_scrap3_Polygon-2,27.20,1.00,99.00,40,20.00,20.00,73.52
bag1,bag1_scrap3_Polygon-4,200.27,1.00,99.00,345,172.50,172.50,86.13
bag1,bag1_scrap3_Polygon-5,47.87,1.00,99.00,72,36.00,36.00,75.20
bag1,bag1_scrap3_Polygon-3,134.28,1.00,99.00,228,114.00,114.00,84.90
bag1,bag1_scrap9_Polygon-5,58.78,1.00,80.00,93,46.50,46.50,79.11
bag1,bag1_scrap9_Polygon-4,80.44,1.00,80.00,124,62.00,62.00,77.08
bag1,bag1_scrap9_Polygon-3,160.44,1.00,80.00,240,120.00,120.00,74.79
bag1,bag1_scrap9_Polygon-2,168.95,1.00,80.00,254,127.00,127.00,75.17
bag1,bag1_scrap5_Polygon-5,28.40,1.00,85.00,50,25.00,25.00,88.03
bag1,bag1_scrap5_Polygon-3,51.42,1.00,85.00,90,45.00,45.00,87.52
bag1,bag1_scrap5_Polygon-6,38.84,1.00,85.00,56,28.00,28.00,72.10
bag1,bag1_scrap5_Polygon-7,154.45,1.00,85.00,275,137.50,137.50,89.02
bag1,bag1_scrap5_Polygon-2,57.11,1.00,85.00,99,49.50,49.50,86.68
bag1,bag1_scrap5_Polygon-4,28.46,1.00,85.00,50,25.00,25.00,87.85
bag1,bag1_scrap8_Polygon-3,159.88,1.00,80.00,237,118.50,118.50,74.12
bag1,bag1_scrap8_Polygon-4,160.97,1.00,80.00,243,121.50,121.50,75.48
bag1,bag1_scrap8_Polygon-2,92.06,1.00,80.00,130,65.00,65.00,70.61
bag1,bag1_scrap8_Polygon-5,136.92,1.00,80.00,220,110.00,110.00,80.34
bag1,bag1_scrap2_Polygon-2,158.80,1.00,85.00,239,119.50,119.50,75.25
bag1,bag1_scrap2_Polygon-6,156.27,1.00,85.00,232,116.00,116.00,74.23
bag1,bag1_scrap2_Polygon-5,34.96,1.00,85.00,57,28.50,28.50,81.53
bag1,bag1_scrap2_Polygon-3,98.29,1.00,85.00,156,78.00,78.00,79.36
bag1,bag1_scrap2_Polygon-4,44.65,1.00,85.00,75,37.50,37.50,83.98
bag1,bag1_scrap6_Polygon-5,187.29,1.00,83.00,325,162.50,162.50,86.76
bag1,bag1_scrap6_Polygon-2,159.39,1.00,83.00,272,136.00,136.00,85.33
bag1,bag1_scrap6_Polygon-4,88.88,1.00,83.00,152,76.00,76.00,85.51
bag1,bag1_scrap6_Polygon-3,43.94,1.00,83.00,69,34.50,34.50,78.51
bag1,bag1_scrap7_Polygon-3,107.64,1.00,96.00,192,96.00,96.00,89.18
bag1,bag1_scrap7_Polygon-6,62.32,1.00,96.00,103,51.50,51.50,82.64
bag1,bag1_scrap7_Polygon-2,151.59,1.00,96.00,248,124.00,124.00,81.80
bag1,bag1_scrap7_Polygon-4,36.10,1.00,96.00,56,28.00,28.00,77.56
bag1,bag1_scrap7_Polygon-5,33.28,1.00,96.00,56,28.00,28.00,84.15
bag1,bag1_scrap7_Polygon-7,79.36,1.00,96.00,126,63.00,63.00,79.39
bag1,bag1_scrap10_Polygon-3,97.29,1.00,72.00,162,81.00,81.00,83.26
bag1,bag1_scrap10_Polygon-4,181.27,1.00,72.00,288,144.00,144.00,79.44
bag1,bag1_scrap10_Polygon-2,118.38,1.00,72.00,200,100.00,100.00,84.47
bag4,bag4_scrap1_Polygon-2,162.70,1.00,79.00,284,142.00,142.00,87.28
bag4,bag4_scrap1_Polygon-4,94.26,1.00,79.00,159,79.50,79.50,84.34
bag4,bag4_scrap1_Polygon-3,129.12,1.00,79.00,235,117.50,117.50,91.00
bag4,bag4_scrap4_Polygon-2,141.51,1.00,82.00,229,114.50,114.50,80.92
bag4,bag4_scrap4_Polygon-3,267.52,1.00,82.00,480,240.00,240.00,89.71
bag4,bag4_scrap3_Polygon-2,26.95,1.00,78.00,40,20.00,20.00,74.22
bag4,bag4_scrap3_Polygon-4,27.06,1.00,78.00,38,19.00,19.00,70.21
bag4,bag4_scrap3_Polygon-12,27.02,1.00,78.00,39,19.50,19.50,72.18
bag4,bag4_scrap3_Polygon-5,28.12,1.00,78.00,42,21.00,21.00,74.67
bag4,bag4_scrap3_Polygon-14,27.49,1.00,78.00,39,19.50,19.50,70.94
bag4,bag4_scrap3_Polygon-6,224.25,1.00,78.00,376,188.00,188.00,83.83
bag4,bag4_scrap3_Polygon-10,29.76,1.00,78.00,50,25.00,25.00,84.00
bag4,bag4_scrap3_Polygon-7,87.81,1.00,78.00,138,69.00,69.00,78.58
bag4,bag4_scrap3_Polygon-9,27.18,1.00,78.00,38,19.00,19.00,69.91
bag4,bag4_scrap3_Polygon-3,26.39,1.00,78.00,39,19.50,19.50,73.90
bag4,bag4_scrap3_Polygon-11,29.68,1.00,78.00,49,24.50,24.50,82.55
bag4,bag4_scrap3_Polygon-8,27.94,1.00,78.00,43,21.50,21.50,76.96
bag4,bag4_scrap3_Polygon-13,26.74,1.00,78.00,36,18.00,18.00,67.31
bag4,bag4_scrap5_Polygon-5,43.41,1.00,85.00,68,34.00,34.00,78.32
bag4,bag4_scrap5_Polygon-3,189.82,1.00,85.00,343,171.50,171.50,90.35
bag4,bag4_scrap5_Polygon-2,141.21,1.00,85.00,214,107.00,107.00,75.77
bag4,bag4_scrap5_Polygon-4,45.28,1.00,85.00,64,32.00,32.00,70.67
bag4,bag4_scrap2_Polygon-2,263.34,1.00,82.00,491,245.50,245.50,93.23
bag4,bag4_scrap2_Polygon-3,178.12,1.00,82.00,285,142.50,142.50,80.00
bag4,bag4_scrap6_Polygon-5,36.09,1.00,78.00,59,29.50,29.50,81.73
bag4,bag4_scrap6_Polygon-2,221.22,1.00,78.00,408,204.00,204.00,92.21
bag4,bag4_scrap6_Polygon-4,43.03,1.00,78.00,74,37.00,37.00,85.99
bag4,bag4_scrap6_Polygon-3,58.11,1.00,78.00,90,45.00,45.00,77.45
bag4,bag4_scrap6_Polygon-7,39.85,1.00,78.00,60,30.00,30.00,75.29
