scrap_id,rectangularity,recovery_percentage,original_area_in2
linen_scrap3-1_Polygon8,0.9425,81.06,49.35
linen_scrap3-1_Polygon3,0.9875,74.51,33.55
linen_scrap3-1_Polygon5,0.9483,78.17,38.38
linen_scrap2-2_Polygon9,0.9829,76.33,28.82
linen_scrap2-2_Polygon5,0.9838,80.29,37.37
linen_scrap2-2_Polygon7,0.9875,81.60,30.02
linen_scrap2-2_Polygon8,0.9845,80.87,39.57
linen_scrap2-2_Polygon3,0.9852,88.26,40.22
linen_scrap2-2_Polygon4,0.9769,83.36,35.99
linen_scrap2-2_Polygon6,0.9788,85.37,29.28
linen_scrap2-2_Polygon2,0.9720,81.32,38.12
linen_scrap1-2_Polygon3,0.9884,94.05,59.54
linen_scrap1-2_Polygon4,0.9896,82.44,50.95
linen_scrap1-2_Polygon2,0.9759,87.41,52.62
linen_scrap1-2_Polygon5,0.9941,84.58,53.20
linen_scrap1-1_Polygon4,0.9768,87.22,64.21
linen_scrap1-1_Polygon7,0.9790,81.68,57.54
linen_scrap1-1_Polygon6,0.9697,89.48,62.58
linen_scrap1-1_Polygon2,0.9784,80.38,60.96
linen_scrap1-1_Polygon5,0.9685,88.48,68.38
linen_scrap1-1_Polygon3,0.9870,81.46,68.75
linen_scrap3-2_Polygon4,0.9701,78.96,22.16
linen_scrap3-2_Polygon6,0.9515,85.01,18.23
linen_scrap3-2_Polygon3,0.9501,70.25,16.37
linen_scrap3-2_Polygon5,0.9874,65.25,24.52
linen_scrap3-2_Polygon2,0.9779,71.97,14.59
linen_scrap2-1_Polygon11,0.9857,65.10,13.82
linen_scrap2-1_Polygon10,0.9799,71.75,16.73
linen_scrap2-1_Polygon9,0.9715,59.44,15.14
linen_scrap2-1_Polygon8,0.9582,60.56,14.86
linen_scrap2-1_Polygon5,0.9931,31.40,3.18
linen_scrap2-1_Polygon2,0.9962,73.13,20.51
linen_scrap2-1_Polygon4,0.9484,75.84,19.12
linen_scrap2-1_Polygon6,0.9819,51.52,7.76
linen_scrap2-1_Polygon3,0.9749,70.79,16.95
linen_scrap2-1_Polygon7,0.9897,78.52,11.46
linen_scrap2-1_Polygon12,0.9865,59.13,15.22
etsybag2_scraps1_Polygon-3,0.9923,88.67,94.17
etsybag2_scraps1_Polygon-2,0.9889,79.68,65.26
etsybag2_scraps1_Polygon-5,0.8886,80.64,44.64
etsybag2_scraps1_Polygon-4,0.9570,73.70,59.70
